cn,name,position,playerScore,generations,total
研究,Research,2.343082114735658,83.20809898762654,8.186726659167604,889
火星大学,Mars University,2.3157290470723306,85.00574052812858,8.144661308840414,871
科研前哨站,Research Outpost,2.267052023121387,84.89826589595376,8.234682080924856,865
奥林巴斯峰会,Olympus Conference,2.4164733178654294,84.15429234338747,8.22505800464037,862
拉格朗日观察点,Lagrange Observatory,2.421602787456446,83.73867595818815,8.234610917537747,861
科学论证,Technology Demonstration,2.422222222222222,82.66432748538011,8.235087719298246,855
太阳风,Solar Wind Power,2.322014051522248,83.51990632318501,8.242388758782202,854
地球发射站,Earth Catapult,2.2613365155131264,86.39021479713604,8.229116945107398,838
空间站,Space Station,2.3968824940047964,83.24940047961631,8.19904076738609,834
海王星探测器,Trans-Neptune Probe,2.4158536585365855,82.61951219512196,8.220731707317073,820
地球办公室,Earth Office,2.3533007334963325,83.94621026894866,8.145476772616137,818
优化合金,Advanced Alloys,2.3308823529411766,84.88970588235294,8.258578431372548,816
发明竞争,Invention Contest,2.43109987357775,81.79266750948167,8.123893805309734,791
米兰达度假村,Miranda Resort,2.350383631713555,84.09718670076727,8.248081841432224,782
漫游者建设,Rover Construction,2.36,83.09806451612903,8.238709677419354,775
维斯塔造船厂,Vesta Shipyard,2.4669260700389106,82.7094682230869,8.273670557717251,771
投资性贷款,Investment Loan,2.338562091503268,82.48104575163399,8.09673202614379,765
基因修复,Gene Repair,2.362796833773087,84.51583113456465,8.29419525065963,758
病毒增强,Viral Enhancers,2.1994609164420487,85.73719676549865,8.076819407008086,742
商业合同,Business Contacts,2.3536585365853657,84.34146341463415,8.178861788617887,738
SF纪念碑,SF Memorial,2.4314789687924017,83.01899592944369,8.191316146540027,737
亚特兰大实验室,Atalanta Planitia Lab,2.2740841248303933,85.7910447761194,7.921302578018996,737
学术赞助,Sponsored Academies,2.3424283765347886,85.4106412005457,7.980900409276944,733
温室,Greenhouses,2.2158469945355193,85.25956284153006,8.142076502732241,732
轨道清洁,Orbital Cleanup,2.281767955801105,86.41160220994475,7.9792817679558015,724
收费站,Toll Station,2.317415730337079,83.56741573033707,8.297752808988765,712
大型护航队,Large Convoy,2.2305516265912306,87.63507779349364,8.253182461103254,707
宠物,Pets,2.2763532763532766,85.63105413105413,8.18945868945869,702
前沿科技,Cutting Edge Technology,2.2381635581061694,86.06599713055954,7.998565279770445,697
测量地壳,Sub-Crust Measurements,2.358273381294964,84.92517985611511,8.002877697841727,695
矿床,Mineral Deposit,2.409221902017291,82.9971181556196,8.152737752161384,694
人工智能核心,AI Central,2.38728323699422,85.07947976878613,8.323699421965317,692
医疗实验室,Medical Lab,2.4057971014492754,84.10289855072463,8.398550724637682,690
木卫三殖民地,Ganymede Colony,2.245639534883721,87.26162790697674,8.337209302325581,688
太空码头,Sky Docks,2.3255813953488373,85.52616279069767,7.902616279069767,688
媒体团队,Media Group,2.335766423357664,83.83941605839416,8.094890510948906,685
研究殖民地,Research Colony,2.321533923303835,85.1047197640118,7.848082595870206,678
外部注入氢气,Imported Hydrogen,2.218611521418021,86.17872968980798,8.187592319054653,677
 穿梭机,Shuttles,2.4056463595839523,85.04457652303121,8.295690936106984,673
引入氮气,Imported Nitrogen,2.189269746646796,87.83159463487333,8.19672131147541,671
赞助商,Sponsors,2.5795795795795797,78.7927927927928,8.415915915915916,666
移民城市,Immigrant City,2.4274924471299095,82.47280966767372,8.338368580060424,662
商业网络,Business Network,2.462121212121212,83.46666666666667,8.192424242424243,660
表土合约,Topsoil Contract,2.256838905775076,85.74924012158054,7.814589665653496,658
多媒体档案库,Media Archives,2.3768996960486324,84.66261398176292,8.153495440729483,658
诺提斯农耕,Noctis Farming,2.2591463414634148,84.83841463414635,8.225609756097562,656
水星合金,Mercurian Alloys,2.3577981651376145,84.60244648318043,8.039755351681958,654
福波斯(火卫一)空间港,Phobos Space Haven,2.391035548686244,83.36012364760433,8.428129829984544,647
大规模转换器,Mass Converter,2.2027863777089784,88.08204334365325,8.179566563467493,646
木卫四开采法,Callisto Penal Mines,2.4232558139534883,83.70387596899225,8.432558139534883,645
研究环境,Research Coordination,2.4354587869362363,83.98444790046656,8.213063763608087,643
卫星,Satellites,2.456386292834891,82.87383177570094,8.313084112149532,642
黄昏激光矿业,Dusk Laser Mining,2.3589341692789967,85.93260188087774,7.967084639498433,638
同业联盟,Cartel,2.3769716088328074,84.29968454258675,8.29179810725552,634
月神都会,Luna Metropolis,2.374407582938389,84.95892575039494,7.995260663507109,633
量子提取,Quantum Extractor,2.2832278481012658,87.20886075949367,8.268987341772151,632
呼吸过滤器,Breathing Filters,2.397781299524564,84.57052297939778,8.33122028526149,631
小行星权力,Asteroid Rights,2.323248407643312,83.70222929936305,7.949044585987261,628
合同工,Indentured Workers,2.4832535885167464,80.09250398724083,8.130781499202552,627
小行星采矿,Asteroid Mining,2.416932907348243,86.27156549520767,8.357827476038338,626
发展中心,Development Center,2.43338683788122,84.10433386837882,8.39486356340289,623
标准技术,Standard Technology,2.3810289389067525,82.60771704180064,8.239549839228296,622
分子打印,Molecular Printing,2.2769726247987117,86.66344605475041,7.898550724637682,621
红斑实验室,Red Spot Observatory,2.3059581320450886,88.18035426731079,7.948470209339774,621
钛合金矿脉,Titanium Mine,2.4458804523424877,80.2778675282714,8.361873990306947,619
木卫一矿业,Io Mining Industries,2.309061488673139,86.73948220064725,8.281553398058252,618
太空电梯,Space Elevator,2.3500810372771475,84.6515397082658,8.361426256077795,617
金星中转站,Venus Waystation,2.3420195439739415,84.72475570032573,7.962540716612378,614
养殖海藻,Kelp Farming,2.2414355628058726,85.14029363784665,7.988580750407831,613
反重力科技,Anti-Gravity Technology,2.099673202614379,91.4673202614379,8.218954248366012,612
辐射化学工厂,Rad-chem Factory,2.3944353518821604,84.91325695581014,8.461538461538462,611
并购公司,Acquired Company,2.5460526315789473,80.52960526315789,8.457236842105264,608
副产品部门,Spin-off Department,2.328358208955224,85.78109452736318,7.85240464344942,603
