player,count,player_list
-.-,12,-.-
-。-,1,-。-
00,35,00
1,12,1
1012k,2,1012k
114514,1,114514
12345,19,12345
123456,1,123456
16,1,16
1609884203,4,1609884203
1660317133,2,1660317133
17826818782,13,17826818782
183454241,3,183454241
187,5,187
1962142767,4,1962142767
1mmm,1,1mmm
2,12,2
2397541142,14,2397541142
26,2,26
2666,1,2666
3,15,3
4,16,4
4074,1,4074
489326240,8,489326240
4tharticle,2,4tharticle
5,1,5
5t,2,5t
5v,7,5v
7,16,7
769991388,2,769991388
77,3,77
82,1,82
8277,1,8277
827717358,14,827717358
9,4,9
99,5,99
9方,1,9方
=-=,2,=-=
=_=,1,=_=
=。=,1,=。=
@庄生,1,@庄生
a,16,a
abcd,1,abcd
acmilan,1,acmilan
aipotu,26,aipotu
ajh,1,ajh
akiha,1,akiha
alex,1,alex
amadeus,17,amadeus
anata,3,anata
ann,1,ann
ap,1,ap
apdx,1,apdx
apex,8,apex
apt,1,apt
aptx,8,aptx
aptx4869,41,aptx4869
ar,2,ar
ararar,2,ararar
argan,1,argan
artificial idiot,3,artificial idiot
ar大,2,ar大
atm,1,atm
automuen,7,automuen
aw,2,aw
awen,1,awen
aydenegg,1,aydenegg
a宝,3,a宝
b,4,b
beijixing,1,beijixing
biaodi,4,biaodi
bigcow,6,bigcow
binbin,6,binbin
bit,1,bit
black,10,black
black_uuz,3,black_uuz
blake,2,blake
blb,3,blb
blue,13,blue
bluekite,1,bluekite
bluelingb,11,bluelingb
boxness,2,boxness
bulez00,4,bulez00
bushi,2,bushi
c,5,c
canopus,1,canopus
castr0,4,castr0
cat,1,cat
catcher1234,16,catcher1234
cc,4,cc
ccl,2,ccl
ccy,1,ccy
chad,1,chad
changliang,1,changliang
charles2020,2,charles2020
chest,1,chest
chewy,1,chewy
chickenking,1,chickenking
chizhagudu,1,chizhagudu
chris,5,chris
chs,23,chs
ch s,1,ch s
cinor,2,cinor
ck,3,ck
ckr,3,ckr
cl,39,cl
cloream,4,cloream
cn,9,cn
cpf,2,cpf
creeper,1,creeper
crlr,2,crlr
cty,2,cty
cup,1,cup
cy,5,cy
cycmdzz,1,cycmdzz
cyf,2,cyf
cyy,1,cyy
cz,12,cz
c h s,2,c h s
daft,5,daft
danc,1,danc
dance,16,dance
dancedance,1,dancedance
dancehui,4,dancehui
dancer,31,dancer
dancerhui,10,dancerhui
dancer胡了,1,dancer胡了
danchehui,1,danchehui
dangyue,3,dangyue
dark,2,dark
daxing,1,daxing
daxinge,12,daxinge
dct,4,dct
dd,62,dd
ddd,4,ddd
ddxy,95,ddxy
ddyy,1,ddyy
deng,2,deng
desk,13,desk
dfc,13,dfc
dgx,1,dgx
dgxtony,1,dgxtony
dh,1,dh
di,3,di
dishu,1,dishu
dr,2,dr
driver,2,driver
duying,4,duying
dwb,90,dwb
dwho,4,dwho
dy,31,dy
dynilath,1,dynilath
dz,1,dz
e,7,e
e.神女粉,1,e.神女粉
ed,1,ed
eddie,1,eddie
edz,2,edz
ee,12,ee
eee,1,eee
eeeeeeeee,1,eeeeeeeee
efans,14,efans
egod,10,egod
egod头号女粉,1,egod头号女粉
egod粉,1,egod粉
eie,2,eie
elllllll,1,elllllll
elva,8,elva
ender,116,ender
ender(自带保护区),1,ender(自带保护区)
ernest,2,ernest
e神,12,e神
e粉,2,e粉
fan,3,fan
fanlb,1,fanlb
faywei,6,faywei
fb,5,fb
feng,1,feng
fg,81,fg
fish,2,fish
fklmgj,7,fklmgj
flagalac,2,flagalac
fluor,1,fluor
fly,3,fly
flyingfish,3,flyingfish
fql,2,fql
francis,2,francis
franklinchan,3,franklinchan
fredom,1,fredom
free,5,free
freedom,7,freedom
fs,4,fs
fucking man,1,fucking man
fw五月,1,fw五月
g,9,g
g.c,2,g.c
gc,8,gc
