player,name,position,playerScore,generations,total,sum_position,sum_playerScore,sum_generations
龙日天,Trans-Neptune Probe,1.0,75.0,8.0,1,1,75,8
kino,Ice Cap Melting,1.0,101.0,6.0,1,1,101,6
kino,Great Dam:promo,1.0,101.0,6.0,1,1,101,6
kino,Giant Solar Shade,1.0,101.0,6.0,1,1,101,6
kino,GHG Producing Bacteria,1.0,101.0,6.0,1,1,101,6
kino,Dawn City,1.0,101.0,6.0,1,1,101,6
kino,Cutting Edge Technology,1.0,101.0,6.0,1,1,101,6
kino,Corona Extractor,1.0,101.0,6.0,1,1,101,6
kino,Colonizer Training Camp,1.0,101.0,6.0,1,1,101,6
kino,Big Asteroid,1.0,101.0,6.0,1,1,101,6
kino,Atalanta Planitia Lab,1.0,101.0,6.0,1,1,101,6
kino,Ants,1.0,101.0,6.0,1,1,101,6
kino,Adaptation Technology,1.0,101.0,6.0,1,1,101,6
月影,Respiration Enhance,1.0,133.0,10.0,1,1,133,10
月影,Robotic Workforce,1.0,133.0,10.0,1,1,133,10
月影,Rover Construction,1.0,133.0,10.0,1,1,133,10
月影,Saturn Surfing,1.0,133.0,10.0,1,1,133,10
月影,Solar Farm,1.0,133.0,10.0,1,1,133,10
月影,Starcore Mining,1.0,133.0,10.0,1,1,133,10
月影,Technology Demonstration,1.0,133.0,10.0,1,1,133,10
月影,Terraforming Ganymede,1.0,133.0,10.0,1,1,133,10
月影,Thermophiles,1.0,133.0,10.0,1,1,133,10
月影,Titan Air-scrapping,1.0,133.0,10.0,1,1,133,10
月影,Topsoil Contract,1.0,133.0,10.0,1,1,133,10
月影,Trans-Neptune Probe,1.0,133.0,10.0,1,1,133,10
月影,Venus Soils,1.0,133.0,10.0,1,1,133,10
月影,Wildlife Dome,1.0,133.0,10.0,1,1,133,10
陆,Birds,1.0,76.0,7.0,1,1,76,7
kino,Impactor Swarm,1.0,101.0,6.0,1,1,101,6
陆,Carbonate Processing,1.0,76.0,7.0,1,1,76,7
kino,Large Convoy,1.0,101.0,6.0,1,1,101,6
kino,Mass Converter,1.0,101.0,6.0,1,1,101,6
月影,Martian Survey,1.0,133.0,10.0,1,1,133,10
月影,Meat Industry,1.0,133.0,10.0,1,1,133,10
月影,Mining Area:ares,1.0,133.0,10.0,1,1,133,10
月影,Mining Colony,1.0,133.0,10.0,1,1,133,10
月影,Mining Quota,1.0,133.0,10.0,1,1,133,10
月影,Mining Rights:ares,1.0,133.0,10.0,1,1,133,10
月影,Plantation,1.0,133.0,10.0,1,1,133,10
月影,Potatoes,1.0,133.0,10.0,1,1,133,10
月影,Research,1.0,133.0,10.0,1,1,133,10
kino,Worms,1.0,101.0,6.0,1,1,101,6
kino,Warp Drive,1.0,101.0,6.0,1,1,101,6
kino,Venus Governor,1.0,101.0,6.0,1,1,101,6
kino,Urbanized Area,1.0,101.0,6.0,1,1,101,6
kino,Titan Shuttles,1.0,101.0,6.0,1,1,101,6
kino,Sulphur-Eating Bacteria,1.0,101.0,6.0,1,1,101,6
kino,Stanford Torus,1.0,101.0,6.0,1,1,101,6
kino,Standard Technology,1.0,101.0,6.0,1,1,101,6
kino,Solar Power,1.0,101.0,6.0,1,1,101,6
kino,Rego Plastics,1.0,101.0,6.0,1,1,101,6
kino,Rad-chem Factory,1.0,101.0,6.0,1,1,101,6
kino,Quantum Extractor,1.0,101.0,6.0,1,1,101,6
kino,Noctis Farming,1.0,101.0,6.0,1,1,101,6
kino,Noctis City,1.0,101.0,6.0,1,1,101,6
kino,Nitrogen-Rich Asteroid,1.0,101.0,6.0,1,1,101,6
kino,Mining Quota,1.0,101.0,6.0,1,1,101,6
kino,Medical Lab,1.0,101.0,6.0,1,1,101,6
kino,Media Group,1.0,101.0,6.0,1,1,101,6
kino,Large Ecological Reserve,1.0,101.0,6.0,1,1,101,6
木 示,Advertising,1.0,122.0,8.0,1,1,122,8
木 示,Aerosport Tournament,1.0,122.0,8.0,1,1,122,8
木 示,Ansible,1.0,122.0,8.0,1,1,122,8
jooe,Trans-Neptune Probe,1.0,100.0,8.0,1,1,100,8
jooe,Trading Colony,1.0,100.0,8.0,1,1,100,8
jooe,Trade Envoys,1.0,100.0,8.0,1,1,100,8
jooe,Titan Shuttles,1.0,100.0,8.0,1,1,100,8
jooe,Technology Demonstration,1.0,100.0,8.0,1,1,100,8
jooe,Symbiotic Fungus,1.0,100.0,8.0,1,1,100,8
jooe,Sub-Crust Measurements,1.0,100.0,8.0,1,1,100,8
jooe,Sponsors,1.0,100.0,8.0,1,1,100,8
jooe,Spin-off Department,1.0,100.0,8.0,1,1,100,8
jooe,Space Hotels,1.0,100.0,8.0,1,1,100,8
jooe,Sky Docks,1.0,100.0,8.0,1,1,100,8
jooe,Saturn Surfing,1.0,100.0,8.0,1,1,100,8
jooe,Rim Freighters,1.0,100.0,8.0,1,1,100,8
jooe,Research Outpost,1.0,100.0,8.0,1,1,100,8
jooe,Research Network,1.0,100.0,8.0,1,1,100,8
jooe,Rego Plastics,1.0,100.0,8.0,1,1,100,8
jooe,Rad-Suits,1.0,100.0,8.0,1,1,100,8
jooe,Quantum Communications,1.0,100.0,8.0,1,1,100,8
jooe,Penguins,1.0,100.0,8.0,1,1,100,8
jooe,Optimal Aerobraking,1.0,100.0,8.0,1,1,100,8
jooe,Open City,1.0,100.0,8.0,1,1,100,8
jooe,Nuclear Zone,1.0,100.0,8.0,1,1,100,8
jooe,Media Group,1.0,100.0,8.0,1,1,100,8
jooe,Mass Converter,1.0,100.0,8.0,1,1,100,8
jooe,Martian Zoo,1.0,100.0,8.0,1,1,100,8
jooe,Magnetic Field Generators:promo,1.0,100.0,8.0,1,1,100,8
jooe,Luxury Foods,1.0,100.0,8.0,1,1,100,8
jooe,Warp Drive,1.0,100.0,8.0,1,1,100,8
木 示,Miranda Resort,1.0,122.0,8.0,1,1,122,8
