createtime,generations
2020-08-31,8.0
2020-09-01,7.5
2020-09-02,8.0
2020-09-04,7.333333333333333
2020-09-05,7.0
2020-09-06,9.0
2020-09-07,7.8
2020-09-08,8.75
2020-09-09,8.25
2020-09-10,8.75
2020-09-11,8.5
2020-09-12,9.0
2020-09-13,8.0
2020-09-15,7.0
2020-09-16,8.5
2020-09-17,9.0
2020-09-20,9.0
2020-09-21,8.0
2020-09-22,8.5
2020-09-23,8.5
2020-09-24,8.0
2020-09-25,8.0
2020-09-30,9.0
2020-10-02,8.25
2020-10-03,9.0
2020-10-04,8.5
2020-10-05,9.0
2020-10-06,8.2
2020-10-07,8.0
2020-10-08,7.5
2020-10-09,8.75
2020-10-10,8.666666666666666
2020-10-11,8.333333333333334
2020-10-12,8.75
2020-10-13,9.0
2020-10-14,9.0
2020-10-15,7.5
2020-10-16,7.0
2020-10-17,9.0
2020-10-18,9.0
2020-10-19,8.0
2020-10-20,7.0
2020-10-21,9.0
2020-10-22,8.0
2020-10-23,8.0
2020-10-24,9.0
2020-10-25,7.5
2020-10-26,9.0
2020-10-27,9.0
2020-10-29,9.0
2020-10-30,8.4
2020-10-31,8.0
2020-11-01,8.0
2020-11-02,8.0
2020-11-03,8.5
2020-11-04,8.666666666666666
2020-11-05,9.0
2020-11-06,8.0
2020-11-07,8.75
2020-11-08,7.875
2020-11-09,8.25
2020-11-10,7.5
2020-11-11,8.2
2020-11-12,8.4
2020-11-13,8.25
2020-11-14,8.285714285714286
2020-11-15,7.5
2020-11-16,8.166666666666666
2020-11-17,7.5
2020-11-18,8.333333333333334
2020-11-19,7.75
2020-11-20,7.285714285714286
2020-11-21,8.333333333333334
2020-11-22,7.8
2020-11-23,8.5
2020-11-24,7.666666666666667
2020-11-25,8.666666666666666
2020-11-26,8.666666666666666
2020-11-27,8.0
2020-11-28,7.5
2020-11-29,8.25
2020-11-30,7.833333333333333
2020-12-01,7.25
2020-12-02,7.0
2020-12-03,7.0
2020-12-04,8.0
2020-12-05,8.440758293838863
2020-12-06,7.0
2020-12-07,7.0
2020-12-08,7.4
2020-12-09,7.333333333333333
2020-12-10,7.8
2020-12-11,7.75
2020-12-12,8.285714285714286
2020-12-13,8.166666666666666
2020-12-14,7.0
2020-12-15,8.0
2020-12-16,8.666666666666666
2020-12-17,7.5
2020-12-18,8.0
2020-12-19,7.75
2020-12-20,9.0
2020-12-21,7.4
2020-12-22,8.0
2020-12-23,7.0
2020-12-24,8.5
2020-12-25,8.75
2020-12-26,7.5
2020-12-27,7.0
2020-12-28,8.25
2020-12-29,7.75
2020-12-30,7.666666666666667
2020-12-31,8.142857142857142
2021-01-01,8.0
2021-01-02,8.333333333333334
2021-01-03,8.11111111111111
2021-01-04,8.0
2021-01-05,7.6
2021-01-06,8.0
2021-01-07,8.0
2021-01-08,6.8
2021-01-09,8.25
2021-01-10,8.0
2021-01-11,7.666666666666667
2021-01-12,7.714285714285714
2021-01-13,8.166666666666666
2021-01-14,7.857142857142857
2021-01-15,8.0
2021-01-16,7.555555555555555
2021-01-17,8.375
2021-01-18,7.75
2021-01-19,8.2
2021-01-20,7.5
2021-01-21,7.428571428571429
2021-01-22,8.0
2021-01-23,7.0
2021-01-24,8.166666666666666
2021-01-25,7.666666666666667
2021-01-26,8.0
2021-01-27,8.0
2021-01-28,8.166666666666666
2021-01-29,9.0
2021-01-30,8.333333333333334
2021-01-31,7.6
2021-02-01,8.0
2021-02-02,8.5
2021-02-03,7.833333333333333
2021-02-04,7.8
2021-02-05,7.7
2021-02-06,7.833333333333333
2021-02-07,7.0
2021-02-08,7.0
2021-02-09,7.571428571428571
2021-02-10,8.0
2021-02-11,9.0
2021-02-12,8.0
2021-02-13,8.166666666666666
2021-02-14,8.0
2021-02-15,8.333333333333334
2021-02-16,8.0
2021-02-17,8.75
2021-02-18,8.0
2021-02-19,7.75
2021-02-20,7.571428571428571
2021-02-21,8.076923076923077
2021-02-22,7.625
2021-02-23,7.625
2021-02-24,8.6
2021-02-25,8.0
2021-02-26,7.428571428571429
2021-02-27,7.5
2021-02-28,8.5
2021-03-01,7.25
2021-03-02,7.0
2021-03-03,7.333333333333333
2021-03-04,7.666666666666667
2021-03-05,8.0
2021-03-06,8.666666666666666
2021-03-07,8.4
2021-03-08,8.0
2021-03-09,8.0
2021-03-10,8.0
2021-03-12,8.333333333333334
2021-03-13,9.0
2021-03-14,7.5
2021-03-15,8.333333333333334
2021-03-16,9.0
2021-03-17,8.11111111111111
2021-03-18,8.3
2021-03-19,7.5
2021-03-20,7.8
2021-03-21,7.846153846153846
2021-03-22,7.714285714285714
2021-03-23,8.0
2021-03-24,7.285714285714286
2021-03-25,8.833333333333334
2021-03-26,8.25
2021-03-27,8.0
2021-03-28,8.285714285714286
2021-03-29,7.333333333333333
2021-03-30,8.0
2021-03-31,8.0
2021-04-01,7.375
2021-04-02,8.0
2021-04-03,8.125
2021-04-04,7.833333333333333
2021-04-05,6.666666666666667
2021-04-06,8.285714285714286
2021-04-07,7.714285714285714
2021-04-08,7.615384615384615
