,corporation,avg_score,avg_position,avg_generations,chosen_time
0,Ambient,79.0,1.75,5.875,8
1,WG Parternship,78.375,1.875,6.625,8
2,Ringcom,92.04761904761905,1.9047619047619049,6.476190476190476,21
3,Polaris,77.71428571428571,1.9047619047619049,6.0476190476190474,21
4,Aphrodite (breakthrough),81.34210526315789,1.981203007518797,6.714285714285714,266
5,Luna Hyperloop Corporation,88.66666666666667,2.0,7.0,3
6,Tempest Consultancy,84.66666666666667,2.0,6.333333333333333,3
7,Philares,80.1355140186916,2.0934579439252334,7.107476635514018,214
8,Tharsis Republic,77.74358974358974,2.1346153846153846,9.435897435897436,156
9,Arcadian Communities (breakthrough),76.78378378378379,2.1531531531531534,6.738738738738738,111
10,Terralabs Research,81.07692307692308,2.1538461538461537,9.384615384615385,13
11,Brotherhood of Mutants,93.3970588235294,2.161764705882353,6.985294117647059,68
12,Agricola Inc,80.5,2.176470588235294,7.176470588235294,34
13,UNMI (breakthrough),75.37596899224806,2.24031007751938,6.903100775193798,258
14,United Nations Mission One,77.33846153846154,2.253846153846154,6.8076923076923075,130
15,Ecoline (breakthrough),75.48846153846154,2.2653846153846153,6.869230769230769,260
16,EcoLine,76.2871287128713,2.277227722772277,9.643564356435643,101
17,Luna First Incorporated,86.66666666666667,2.2857142857142856,7.571428571428571,21
18,Arklight (breakthrough),80.6604938271605,2.302469135802469,6.95679012345679,162
19,Labour Union,72.68333333333334,2.316666666666667,7.183333333333334,60
20,Poseidon,81.6611374407583,2.329383886255924,7.504739336492891,422
21,Chaos,80.29012345679013,2.345679012345679,7.234567901234568,162
22,Aristarchus,80.11627906976744,2.3488372093023258,7.069767441860465,129
23,Incite Ender,82.76073619631902,2.361963190184049,6.9447852760736195,163
24,Tharsis_republic (breakthrough),75.64566929133858,2.3622047244094486,7.161417322834645,254
25,Lakefront Resorts,75.73770491803279,2.3688524590163933,6.766393442622951,244
26,Splice (breakthrough),79.7089552238806,2.3694029850746268,6.899253731343284,268
27,Interplanetary Cinematics (breakthrough),77.0273556231003,2.3951367781155013,7.066869300911854,329
28,Vitor,82.87455197132617,2.412186379928315,7.706093189964157,279
29,CrediCor,76.11214953271028,2.4205607476635516,7.538940809968848,321
30,Celestic (breakthrough),82.14977973568281,2.4317180616740086,7.41409691629956,227
31,Pristar,81.46153846153847,2.4358974358974357,7.82051282051282,39
32,Teractor,76.41818181818182,2.4545454545454546,9.554545454545455,110
33,Valley Trust (breakthrough),80.55665024630542,2.455665024630542,7.288177339901478,406
34,Saturn Systems,78.79232505643341,2.455981941309255,8.18510158013544,443
35,StormCraft Incorporated (breakthrough),77.84507042253522,2.464788732394366,7.136150234741784,213
36,Pobolog (breakthrough),77.90201729106629,2.4697406340057637,7.230547550432276,347
37,Midas,74.29347826086956,2.4782608695652173,6.978260869565218,92
38,Void,72.44827586206897,2.4827586206896552,6.712643678160919,87
39,Manutech,79.06857142857143,2.482857142857143,7.145714285714286,350
40,MorningStar Inc (breakthrough),80.44144144144144,2.4834834834834836,7.225225225225225,333
41,Septem Tribus,79.1978021978022,2.489010989010989,6.934065934065934,182
42,Intragen Sanctuary Headquarters,73.0,2.5,7.5,2
43,,78.08168927250308,2.5,9.112207151664611,3244
44,Arcadian Communities,75.0,2.5,9.3,10
45,Id Front,81.337899543379,2.5068493150684934,7.091324200913242,219
46,Interplanetary Cinematics,68.27027027027027,2.5135135135135136,10.135135135135135,37
47,Viron (breakthrough),80.47447447447448,2.5195195195195197,7.318318318318318,333
48,Aphrodite,76.56521739130434,2.5217391304347827,9.26086956521739,23
49,Mining guild (breakthrough),75.08695652173913,2.526086956521739,7.139130434782609,230
50,Soylent Seedling Systems,64.07692307692308,2.5384615384615383,5.769230769230769,13
51,Teractor (breakthrough),78.02227722772277,2.5445544554455446,7.235148514851485,404
52,Pharmacy Union,78.83333333333333,2.549019607843137,7.632352941176471,204
53,Trade Navigator,83.16923076923077,2.558974358974359,6.9743589743589745,195
54,Terralabs Research (breakthrough),78.20731707317073,2.569105691056911,7.158536585365853,246
55,Beginner Corporation,78.57142857142857,2.5714285714285716,7.714285714285714,7
56,Point Luna,78.24077046548956,2.581059390048154,7.807383627608346,623
57,Crescent Research Association,78.0,2.5833333333333335,7.5,12
58,PhoboLog,72.33613445378151,2.588235294117647,9.268907563025211,119
59,Martian Insurance Group,78.0,2.6,6.4,10
60,Valley Trust,77.5047619047619,2.6095238095238096,9.257142857142856,105
61,Celestic,80.58181818181818,2.618181818181818,9.672727272727272,55
62,Playwrights,74.79310344827586,2.6206896551724137,6.939655172413793,116
63,Mining Guild,70.76829268292683,2.6219512195121952,9.560975609756097,82
64,Recyclon,75.54545454545455,2.6363636363636362,9.242424242424242,33
65,Helion (breakthrough),67.71945701357465,2.6425339366515836,6.638009049773756,221
