,corporation,avg_score,avg_position,avg_generations,chosen_time
0,WG Parternship,112.25,1.0,8.5,4
1,Crescent Research Association,139.0,1.0,11.0,2
2,Martian Insurance Group,158.0,1.0,11.0,1
3,Chimera,172.0,1.0,10.0,1
4,Incite Ender,196.16666666666666,1.1666666666666667,10.333333333333334,6
5,Pristar,142.0909090909091,1.2727272727272727,12.0,11
6,Ringcom,122.85714285714286,1.2857142857142858,9.285714285714286,7
7,Utopia Invest,142.6875,1.3125,11.375,16
8,Luna First Incorporated,144.33333333333334,1.3333333333333333,10.5,6
9,Id Front,131.17142857142858,1.342857142857143,10.214285714285714,70
10,Brotherhood of Mutants,335.5,1.375,10.375,8
11,Point Luna,147.45808383233532,1.3892215568862274,11.455089820359282,334
12,Manutech,130.44878048780487,1.3902439024390243,10.35609756097561,205
13,Terralabs Research (breakthrough),161.5,1.396551724137931,10.706896551724137,58
14,Hotsprings,102.9,1.4,9.6,10
15,Pharmacy Union,129.82882882882882,1.4144144144144144,10.891891891891891,111
16,Arcadian Communities (breakthrough),116.61702127659575,1.425531914893617,9.787234042553191,47
17,Factorum (breakthrough),129.72222222222223,1.4277777777777778,10.238888888888889,180
18,Playwrights,113.25,1.4285714285714286,9.5,28
19,Factorum,123.26315789473684,1.4385964912280702,11.719298245614034,57
20,Aphrodite (breakthrough),122.70930232558139,1.4418604651162792,9.511627906976743,86
21,MorningStar Inc (breakthrough),133.94736842105263,1.4444444444444444,10.08187134502924,171
22,Junk Ventures,131.8148148148148,1.4444444444444444,10.160493827160494,81
23,Robinson Industries (breakthrough),118.71686746987952,1.4457831325301205,9.993975903614459,166
24,Chaos,133.73684210526315,1.4473684210526316,10.789473684210526,38
25,Celestic,118.41304347826087,1.4565217391304348,12.565217391304348,46
26,Splice (breakthrough),116.16949152542372,1.457627118644068,9.661016949152543,118
27,Stormcraft Incorporated,115.83333333333333,1.4583333333333333,12.125,24
28,UNMI (breakthrough),120.7841726618705,1.460431654676259,9.928057553956835,139
29,Agricola Inc,128.6,1.4666666666666668,10.533333333333333,15
30,PhoboLog,113.52356020942409,1.4764397905759161,12.696335078534032,191
31,Interplanetary Cinematics,103.58208955223881,1.4776119402985075,13.059701492537313,67
32,Interplanetary Cinematics (breakthrough),118.27472527472527,1.478021978021978,9.857142857142858,182
33,Viron (breakthrough),131.25615763546799,1.4827586206896552,10.172413793103448,203
34,Vitor,134.17573221757323,1.485355648535565,10.786610878661088,239
35,CrediCor,122.33649289099526,1.4881516587677726,11.317535545023697,211
36,Tharsis_republic (breakthrough),126.31914893617021,1.4893617021276595,10.574468085106384,94
37,Mining guild (breakthrough),126.74172185430463,1.490066225165563,10.668874172185431,151
38,Helion,109.19428571428571,1.4914285714285713,13.17142857142857,175
39,Ecoline (breakthrough),107.59722222222223,1.4930555555555556,9.784722222222221,144
40,Valley Trust,119.83928571428571,1.494047619047619,12.154761904761905,168
41,Inventrix (breakthrough),133.5298245614035,1.4947368421052631,10.347368421052632,285
42,Helion (breakthrough),107.48818897637796,1.4960629921259843,9.606299212598426,127
