index,game_id,player,players,generations,createtime,playerScore,position,count,corporation,corporation2,cn,cn_2,breakthrough,aresExtension,erosCardsOption,doubleCorp,pathfindersExpansion,moonExpansion,id,name,resourceCount,players_terraformRating,rn,title,reason
0.0,gdbe821897812,tuzi,2,20,2022-01-26 22:34:54,1000,1,1,Inventrix (breakthrough),Trade Navigator,科技适应(突破),霞之白嫖,True,True,True,True,True,True,gdbe821897812,Research Outpost,0.0,154.0,4.0,黑暗法师,在20时代内同时打出所有全卡减费 (4/4)
1.0,g5d3ebb53b301,真,2,31,2022-02-02 18:54:00,833,1,1,CrediCor,,57公司,,False,False,False,False,False,False,g5d3ebb53b301,Earth Catapult,0.0,146.0,4.0,黑暗法师,在31时代内同时打出所有全卡减费 (4/4)
2.0,g8a23b0cf28ed,2,2,26,2022-02-03 02:12:09,812,1,1,United Nations Mars Initiative,,UNMI(未突破),,False,False,False,False,False,False,g8a23b0cf28ed,Earth Catapult,0.0,159.0,4.0,黑暗法师,在26时代内同时打出所有全卡减费 (4/4)
3.0,g76d3b2d3d260,吴睿杰,2,18,2021-07-10 13:46:18,588,1,1,Tharsis_republic (breakthrough),Trade Navigator,城公司(突破),霞之白嫖,True,True,True,True,,True,g76d3b2d3d260,Anti-Gravity Technology,,152.0,4.0,黑暗法师,在18时代内同时打出所有全卡减费 (4/4)
4.0,g6b45881068f1,Makise,2,12,2021-11-11 17:32:17,443,1,1,Mons Insurance,Project Workshop,保险,蓝卡公司,True,True,True,True,,False,g6b45881068f1,Earth Catapult,,100.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
5.0,gb6039067f1ba,工具人,2,19,2021-12-12 22:57:32,418,1,1,Chaos,Interplanetary Cinematics (breakthrough), Chaos,事件(突破),True,True,True,True,,True,gb6039067f1ba,Research Outpost,,128.0,4.0,黑暗法师,在19时代内同时打出所有全卡减费 (4/4)
6.0,g502d915109ba,米饭,2,12,2021-07-08 15:39:28,361,1,1,Factorum (breakthrough),Thorgate (breakthrough),电产抽铁牌(突破),电公司(突破),True,True,False,True,,False,g502d915109ba,Earth Catapult,,94.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
7.0,gd79d5f6a3338,阿鹏,2,13,2021-06-25 20:25:04,339,1,1,Saturn Systems,Septem Tribus,木星公司,议会公司,True,False,False,True,,False,gd79d5f6a3338,Earth Catapult,,86.0,4.0,黑暗法师,在13时代内同时打出所有全卡减费 (4/4)
8.0,g7ad1ff192e95,羊羊队立大功,2,14,2022-03-06 23:38:07,315,1,1,Saturn Systems,Pobolog (breakthrough),木星公司,钛公司(未突破),True,True,True,True,False,False,g7ad1ff192e95,Sky Docks,0.0,77.0,4.0,黑暗法师,在14时代内同时打出所有全卡减费 (4/4)
9.0,g725f6b3d3f39,Red,2,16,2021-07-16 20:11:03,260,1,1,Viron,,双动公司(未突破),,False,False,False,False,,False,g725f6b3d3f39,Research Outpost,,50.0,4.0,黑暗法师,在16时代内同时打出所有全卡减费 (4/4)
10.0,gab9f6b401206,lonefire,2,12,2022-01-14 02:28:58,238,1,1,Pobolog (breakthrough),Interplanetary Cinematics (breakthrough),钛公司(未突破),事件(突破),True,False,True,True,,False,gab9f6b401206,Anti-Gravity Technology,,50.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
11.0,gad8e8146f584,hikaru,2,11,2022-01-31 17:56:19,236,1,1,Pharmacy Union,Terralabs Research (breakthrough),制药联盟,买牌1块(突破),True,False,False,True,False,False,gad8e8146f584,Anti-Gravity Technology,0.0,51.0,4.0,黑暗法师,在11时代内同时打出所有全卡减费 (4/4)
12.0,g94d42343cdbd,adonkey,2,16,2022-01-14 00:05:06,226,1,1,PhoboLog,,钛公司(未突破),,False,False,False,False,,False,g94d42343cdbd,Sky Docks,,50.0,4.0,黑暗法师,在16时代内同时打出所有全卡减费 (4/4)
13.0,gdea01c66cbe0,dancerhui,4,8,2022-01-05 15:54:01,212,1,1,Inventrix (breakthrough),Trade Navigator,科技适应(突破),霞之白嫖,True,True,True,True,,False,gdea01c66cbe0,Research Outpost,,47.0,4.0,黑暗法师,在8时代内同时打出所有全卡减费 (4/4)
14.0,g410083b7a37e,龙日天,2,11,2021-07-24 01:36:04,209,1,1,Project Workshop,Mons Insurance,蓝卡公司,保险,False,True,True,True,,False,g410083b7a37e,Earth Catapult,,72.0,4.0,黑暗法师,在11时代内同时打出所有全卡减费 (4/4)
15.0,ga9a700005232,真香,2,12,2022-03-06 21:58:26,201,1,1,Viron (breakthrough),Celestic (breakthrough),双动公司(突破),云公司(突破),True,False,False,True,False,False,ga9a700005232,Earth Catapult,0.0,59.0,4.0,黑暗法师,在12时代内同时打出所有全卡减费 (4/4)
16.0,g7c58a51402ec,小z,2,10,2022-01-05 11:08:42,189,1,1,Poseidon,Vitor,殖民公司,分牌回3,True,False,False,True,,False,g7c58a51402ec,Earth Catapult,,54.0,4.0,黑暗法师,在10时代内同时打出所有全卡减费 (4/4)
